iter	Passed	Remaining
0	58	88420
1	116	87210
2	179	89451
3	245	91695
4	299	89537
5	346	86234
6	401	85683
7	463	86466
8	521	86404
9	582	86787
10	651	88146
11	714	88590
12	773	88526
13	841	89357
14	909	90023
15	978	90732
16	1049	91551
17	1115	91821
18	1145	89311
19	1212	89705
20	1273	89723
21	1322	88841
22	1376	88382
23	1425	87653
24	1492	88065
25	1566	88797
26	1627	88763
27	1690	88892
28	1753	88959
29	1817	89058
30	1884	89301
31	1947	89361
32	2009	89343
33	2072	89363
34	2111	88381
35	2177	88538
36	2245	88774
37	2309	88852
38	2375	88991
39	2439	89059
40	2484	88398
41	2535	88018
42	2600	88110
43	2662	88107
44	2697	87204
45	2760	87258
46	2828	87431
47	2897	87653
48	2964	87794
49	3032	87943
50	3095	87938
51	3156	87897
52	3188	87041
53	3254	87152
54	3319	87223
55	3368	86870
56	3416	86493
57	3465	86154
58	3515	85873
59	3548	85167
60	3597	84853
61	3613	83808
62	3631	82833
63	3669	82328
64	3701	81710
65	3743	81342
66	3765	80537
67	3783	79670
68	3847	79794
69	3911	79908
70	3928	79068
71	3943	78209
72	3983	77859
73	3998	77045
74	4035	76668
75	4065	76169
76	4097	75718
77	4156	75770
78	4186	75311
79	4201	74584
80	4264	74700
81	4308	74509
82	4373	74669
83	4396	74104
84	4445	74001
85	4462	73368
86	4507	73203
87	4559	73166
88	4611	73115
89	4677	73276
90	4693	72666
91	4755	72780
92	4813	72822
93	4829	72232
94	4843	71637
95	4872	71263
96	4885	70665
97	4920	70388
98	4987	70581
99	5012	70168
100	5033	69728
101	5064	69408
102	5131	69598
103	5196	69747
104	5241	69631
105	5284	69493
106	5332	69425
107	5355	69031
108	5428	69279
109	5453	68912
110	5510	68950
111	5572	69062
112	5590	68623
113	5616	68283
114	5640	67932
115	5705	68071
116	5775	68272
117	5901	69119
118	5950	69061
119	5980	68770
120	6019	68598
121	6078	68653
122	6120	68522
123	6191	68704
124	6214	68362
125	6233	67979
126	6264	67726
127	6323	67778
128	6365	67652
129	6423	67698
130	6503	67959
131	6549	67872
132	6624	68089
133	6696	68268
134	6752	68274
135	6839	68595
136	6921	68862
137	6999	69082
138	7073	69263
139	7189	69836
140	7254	69923
141	7291	69730
142	7365	69897
143	7614	71700
144	7758	72497
145	7894	73214
146	7934	73027
147	8024	73306
148	8109	73532
149	8189	73702
150	8277	73953
151	8394	74448
152	8492	74765
153	8617	75321
154	8717	75642
155	8825	76037
156	8948	76544
157	9093	77233
158	9236	77897
159	9495	79526
160	9627	80069
161	9708	80183
162	9792	80318
163	9895	80612
164	9992	80846
165	10087	81063
166	10175	81218
167	10263	81377
